State_Pair,State1,State2,Total_Passengers
New Hampshire-New Jersey,New Hampshire,New Jersey,13420
Connecticut-Utah,Connecticut,Utah,13390
Georgia-North Dakota,Georgia,North Dakota,13280
Montana-Tennessee,Montana,Tennessee,13190
Missouri-New Hampshire,Missouri,New Hampshire,13090
Alabama-South Carolina,Alabama,South Carolina,13000
Mississippi-Pennsylvania,Mississippi,Pennsylvania,12960
Indiana-Nebraska,Indiana,Nebraska,12950
Alabama-Oklahoma,Alabama,Oklahoma,12930
Maine-Missouri,Maine,Missouri,12910
District of Columbia-Montana,District of Columbia,Montana,12900
Arizona-Maine,Arizona,Maine,12900
Colorado-Mississippi,Colorado,Mississippi,12790
Alaska-District of Columbia,Alaska,District of Columbia,12750
Arkansas-Louisiana,Arkansas,Louisiana,12690
Alaska-New Jersey,Alaska,New Jersey,12550
Kansas-Pennsylvania,Kansas,Pennsylvania,12480
Idaho-North Carolina,Idaho,North Carolina,12460
New Hampshire-Tennessee,New Hampshire,Tennessee,12260
South Dakota-Washington,South Dakota,Washington,12210
New Hampshire-Ohio,New Hampshire,Ohio,12170
Idaho-Massachusetts,Idaho,Massachusetts,12120
Connecticut-Oregon,Connecticut,Oregon,12030
Idaho-Michigan,Idaho,Michigan,11980
Iowa-Maryland,Iowa,Maryland,11960
Nebraska-Wisconsin,Nebraska,Wisconsin,11910
Louisiana-Rhode Island,Louisiana,Rhode Island,11860
New Mexico-Oklahoma,New Mexico,Oklahoma,11840
Maryland-Nebraska,Maryland,Nebraska,11760
Alabama-Indiana,Alabama,Indiana,11570
Rhode Island-Washington,Rhode Island,Washington,11560
Alaska-Tennessee,Alaska,Tennessee,11540
Arkansas-Kentucky,Arkansas,Kentucky,11460
Montana-Virginia,Montana,Virginia,11430
District of Columbia-Idaho,District of Columbia,Idaho,11340
New York-South Dakota,New York,South Dakota,11280
Alabama-Louisiana,Alabama,Louisiana,11190
Alabama-Kentucky,Alabama,Kentucky,11140
Montana-Wisconsin,Montana,Wisconsin,11080
Alaska-Virginia,Alaska,Virginia,10970
Kentucky-Nebraska,Kentucky,Nebraska,10890
Idaho-Tennessee,Idaho,Tennessee,10860
Alabama-Oregon,Alabama,Oregon,10720
Maine-South Carolina,Maine,South Carolina,10660
Georgia-Wyoming,Georgia,Wyoming,10620
Arkansas-Oregon,Arkansas,Oregon,10470
Maryland-New Jersey,Maryland,New Jersey,10460
District of Columbia-Kansas,District of Columbia,Kansas,10450
Idaho-Virginia,Idaho,Virginia,10440
Minnesota-Rhode Island,Minnesota,Rhode Island,10380
Missouri-North Dakota,Missouri,North Dakota,10330
Nebraska-South Carolina,Nebraska,South Carolina,10310
Maryland-Montana,Maryland,Montana,10260
Arkansas-Wisconsin,Arkansas,Wisconsin,10200
Arkansas-South Carolina,Arkansas,South Carolina,10150
Iowa-Louisiana,Iowa,Louisiana,10130
Indiana-Ohio,Indiana,Ohio,10090
Illinois-West Virginia,Illinois,West Virginia,10080
Idaho-Maryland,Idaho,Maryland,10070
New Mexico-Wisconsin,New Mexico,Wisconsin,10030
Alabama-Wisconsin,Alabama,Wisconsin,9990
Kansas-Tennessee,Kansas,Tennessee,9940
New York-North Dakota,New York,North Dakota,9840
Kentucky-Rhode Island,Kentucky,Rhode Island,9810
Arkansas-Indiana,Arkansas,Indiana,9810
Michigan-North Dakota,Michigan,North Dakota,9760
Alaska-Louisiana,Alaska,Louisiana,9730
